house,title,location,date_start,date_end,date_label,url,has_catalog,source,image
Christie's,Watches Online: The New York Edit,"Online, New York",2026-06-05,2026-06-17,2026-06-05 – 2026-06-17,https://onlineonly.christies.com/sso?SaleID=30716&SaleNumber=23588,True,Christie's,https://www.christies.com/img/saleimages/NYR-23588-06052026-1.jpg?Width=600
Christie's,Important Watches,New York,2026-06-12,2026-06-12,2026-06-12,https://www.christies.com/en/auction/important-watches-30715/,True,Christie's,https://www.christies.com/img/saleimages/NYR-23587-06122026-1.jpg?Width=600
Christie's,Watches Online: Hong Kong Edit,"Online, Hong Kong",2026-09-24,2026-10-07,2026-09-24 – 2026-10-07,,False,Christie's,https://www.christies.com/img/saleimages/HGK-24477-09242026-1.jpg?Width=600
Christie's,Rétromobile New York Auctions,New York,2026-11-19,2026-11-20,2026-11-19 – 2026-11-20,,False,Christie's,https://www.christies.com/img/saleimages/NYR-24798-11192026-1.jpg?Width=600
Christie's,Important Watches,Hong Kong,2026-11-25,2026-11-25,2026-11-25,,False,Christie's,https://www.christies.com/img/saleimages/HGK-24478-11252026-1.jpg?Width=600
Christie's,Watches Online: The New York Edit,"Online, New York",2026-12-01,2026-12-15,2026-12-01 – 2026-12-15,,False,Christie's,https://www.christies.com/static/images/christies-roundel.svg
