house,title,location,date_start,date_end,date_label,url,has_catalog,source,image
Marteau & Co,Marteau : The First Strike,Geneva,2025-10-15,2025-10-23,2025-10-15 – 2025-10-23,https://auctions.marteauandco.com/Oct-2025,True,Marteau & Co,https://t4p7b9.tandemauctions.com/sales/oct-2025/1cdb7d7c-69a5-4559-b4ee-80ff122b5dad.webp
Marteau & Co,Marteau: The Echo,Geneva,2026-03-12,2026-03-19,2026-03-12 – 2026-03-19,https://auctions.marteauandco.com/Mar-2026,True,Marteau & Co,https://t4p7b9.tandemauctions.com/sales/mar-2026/94f38272-60ce-4ce4-b5fd-92ecf34250c5.webp
Marteau & Co,Marteau : The Heat Wave,Geneva,2026-06-10,2026-06-17,2026-06-10 – 2026-06-17,https://auctions.marteauandco.com/Jun-2026,True,Marteau & Co,https://t4p7b9.tandemauctions.com/sales/jun-2026/eec990c5-3f2b-4e20-a91a-e8f8bb4f5b03.webp
